Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC,Within‐network FC
Unnamed: 0_level_1,Model 1 (no interaction term),Model 1 (no interaction term),Model 1 (no interaction term),Model 1 (no interaction term),Model 1 (no interaction term),Model 1 (no interaction term),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included),Model 2 (interaction term included)
Unnamed: 0_level_2,Age,Age,Age,HIV,HIV,HIV,Age,Age,Age,HIV,HIV,HIV,HIV × age,HIV × age,HIV × age
Unnamed: 0_level_3,"F(1,181)",p,η2,"F(1,181)",p,η2,"F(1,180)",p,η2,"F(1,180)",p,η2,"F(1,180)",p,η2
VIS,4.88,.028???,0.05,1.48,0.225,0.02,3.04,0.083,0.05,0.09,.770,0.02,0.0,.955,0.0
SMN,0.05,.831,0.0,0.02,0.895,0.0,1.6,0.208,0.0,2.99,.085,0.0,3.4,.067,0.02
DAN,0.5,.481,0.01,0.89,0.348,0.01,0.73,0.395,0.01,0.54,.465,0.01,0.23,.629,0.0
VAN,3.03,.083,0.01,0.0,0.959,0.0,0.02,0.887,0.01,4.35,.039???,0.0,4.66,.032???,0.03
LIM,1.22,.271,0.0,0.78,0.379,0.01,0.91,0.341,0.0,0.02,.886,0.01,0.01,.911,0.0
ECN,0.43,.512,0.0,0.0,0.983,0.0,1.47,0.226,0.0,1.24,.266,0.0,1.33,.249,0.01
DMN,0.46,.500,0.0,0.01,0.908,0.0,1.42,0.234,0.0,1.03,.310,0.0,1.2,.275,0.01
